"data","valor"
"2024-09-02",5.623
"2024-09-03",5.6224
"2024-09-04",5.6359
"2024-09-05",5.6049
"2024-09-06",5.5702
"2024-09-09",5.6097
"2024-09-10",5.6254
"2024-09-11",5.6387
"2024-09-12",5.6554
"2024-09-13",5.5717
"2024-09-16",5.5207
"2024-09-17",5.501
"2024-09-18",5.4767
"2024-09-19",5.4189
"2024-09-20",5.4775
"2024-09-23",5.5446
"2024-09-24",5.4702
"2024-09-25",5.4736
"2024-09-26",5.4412
"2024-09-27",5.4431
"2024-09-30",5.4481
"2024-10-01",5.4521
"2024-10-02",5.4305
"2024-10-03",5.485
"2024-10-04",5.4686
"2024-10-07",5.4626
"2024-10-08",5.5197
"2024-10-09",5.5737
"2024-10-10",5.5819
"2024-10-11",5.6263
"2024-10-14",5.6045
"2024-10-15",5.6378
"2024-10-16",5.6749
"2024-10-17",5.6758
"2024-10-18",5.6672
"2024-10-21",5.7068
"2024-10-22",5.6958
"2024-10-23",5.7149
"2024-10-24",5.7087
"2024-10-25",5.6969
"2024-10-28",5.6988
"2024-10-29",5.714
"2024-10-30",5.7801
"2024-10-31",5.7779
"2024-11-01",5.8073
"2024-11-04",5.7898
"2024-11-05",5.7846
"2024-11-06",5.7648
"2024-11-07",5.6624
"2024-11-08",5.7648
"2024-11-11",5.798
"2024-11-12",5.7694
"2024-11-13",5.7713
"2024-11-14",5.7885
"2024-11-18",5.7603
"2024-11-19",5.7743
"2024-11-21",5.8173
"2024-11-22",5.8124
"2024-11-25",5.8002
"2024-11-26",5.799
"2024-11-27",5.8291
"2024-11-28",5.9871
"2024-11-29",6.0535
"2024-12-02",6.0634
"2024-12-03",6.0707
"2024-12-04",6.0581
"2024-12-05",5.9849
"2024-12-06",6.0293
"2024-12-09",6.057
"2024-12-10",6.0529
"2024-12-11",6.032
"2024-12-12",5.9408
"2024-12-13",6.04
"2024-12-16",6.0509
"2024-12-17",6.1685
"2024-12-18",6.1624
"2024-12-19",6.1841
"2024-12-20",6.078
"2024-12-23",6.1612
"2024-12-24",6.1541
"2024-12-26",6.1656
"2024-12-27",6.1991
"2024-12-30",6.1923
"2024-12-31",6.1923
"2025-01-02",6.2086
"2025-01-03",6.1563
"2025-01-06",6.1119
"2025-01-07",6.0741
"2025-01-08",6.1321
