data,valor
2003-01-01,67.21906
2003-02-01,68.97602
2003-03-01,72.29284
2003-04-01,71.43585
2003-05-01,70.11479
2003-06-01,68.9159
2003-07-01,72.04239
2003-08-01,70.93797
2003-09-01,71.91633
2003-10-01,73.44305
2003-11-01,71.27353
2003-12-01,69.72302
2004-01-01,68.91965
2004-02-01,69.52488
2004-03-01,78.28225
2004-04-01,75.05363
2004-05-01,74.12221
2004-06-01,74.80166
2004-07-01,77.9293
2004-08-01,77.3554
2004-09-01,76.34795
2004-10-01,76.12288
2004-11-01,76.6094
2004-12-01,75.19402
2005-01-01,72.37118
2005-02-01,72.70669
2005-03-01,80.68956
2005-04-01,78.54232
2005-05-01,77.50008
2005-06-01,77.94417
2005-07-01,79.1024
2005-08-01,80.49989
2005-09-01,77.56464
2005-10-01,77.82769
2005-11-01,78.1098
2005-12-01,77.77305
2006-01-01,75.88739
2006-02-01,75.35872
2006-03-01,83.25545
2006-04-01,78.72438
2006-05-01,81.9248
2006-06-01,79.97446
2006-07-01,83.47339
2006-08-01,84.63244
2006-09-01,81.24294
2006-10-01,83.42026
2006-11-01,82.96013
2006-12-01,81.30546
2007-01-01,80.24398
2007-02-01,79.22433
2007-03-01,87.45952
2007-04-01,84.09427
2007-05-01,86.61605
2007-06-01,85.5495
2007-07-01,89.37777
2007-08-01,90.21679
2007-09-01,86.15276
2007-10-01,90.29903
2007-11-01,87.99889
2007-12-01,85.58719
2008-01-01,85.18632
2008-02-01,85.22186
2008-03-01,90.1739
2008-04-01,90.51543
2008-05-01,90.12651
2008-06-01,91.28991
2008-07-01,95.44722
2008-08-01,93.58587
2008-09-01,92.69793
2008-10-01,92.83459
2008-11-01,87.09326
2008-12-01,83.12044
2009-01-01,80.53201
2009-02-01,80.57238
2009-03-01,89.34905
2009-04-01,86.05116
2009-05-01,86.96988
2009-06-01,87.81152
2009-07-01,91.88335
2009-08-01,91.36967
2009-09-01,90.74616
2009-10-01,92.61638
2009-11-01,90.61545
2009-12-01,90.34116
2010-01-01,87.95021
2010-02-01,89.20768
2010-03-01,100.27482
2010-04-01,95.68051
2010-05-01,95.43637
2010-06-01,95.13659
2010-07-01,99.01624
2010-08-01,98.95109
2010-09-01,97.49291
2010-10-01,97.4005
2010-11-01,97.6466
2010-12-01,95.55489
2011-01-01,92.74155
2011-02-01,95.2009
2011-03-01,101.32019
2011-04-01,97.79043
2011-05-01,100.12991
2011-06-01,99.09309
2011-07-01,101.50218
2011-08-01,103.11882
2011-09-01,99.48192
2011-10-01,99.28105
2011-11-01,99.1772
2011-12-01,97.33418
2012-01-01,93.21349
2012-02-01,94.61978
2012-03-01,102.30878
2012-04-01,97.76576
2012-05-01,101.05803
2012-06-01,99.46257
2012-07-01,103.08547
2012-08-01,104.79726
2012-09-01,98.98716
2012-10-01,103.25879
2012-11-01,100.77508
2012-12-01,97.53283
2013-01-01,97.39589
2013-02-01,95.17019
2013-03-01,103.47059
2013-04-01,104.71675
2013-05-01,102.78363
2013-06-01,101.27819
2013-07-01,106.34797
2013-08-01,106.1256
2013-09-01,102.952
2013-10-01,106.19255
2013-11-01,103.31651
2013-12-01,101.90577
2014-01-01,99.76994
2014-02-01,100.3374
2014-03-01,104.18262
2014-04-01,103.24901
2014-05-01,102.86447
2014-06-01,98.48814
2014-07-01,104.75586
2014-08-01,103.65466
2014-09-01,103.54848
2014-10-01,104.65475
2014-11-01,101.31062
2014-12-01,101.69918
2015-01-01,96.97803
2015-02-01,95.68132
2015-03-01,104.37986
2015-04-01,99.46909
2015-05-01,97.51985
2015-06-01,96.82002
2015-07-01,99.85515
2015-08-01,98.19318
2015-09-01,96.42182
2015-10-01,97.73225
2015-11-01,95.05789
2015-12-01,95.39922
2016-01-01,89.87918
2016-02-01,91.48197
2016-03-01,97.99277
2016-04-01,94.91565
2016-05-01,93.11912
2016-06-01,94.4725
2016-07-01,95.36056
2016-08-01,96.29776
2016-09-01,93.62282
2016-10-01,92.73672
2016-11-01,92.62166
2016-12-01,93.55328
2017-01-01,89.90582
2017-02-01,90.44362
2017-03-01,99.01545
2017-04-01,93.37046
2017-05-01,94.65079
2017-06-01,94.31754
2017-07-01,96.53999
2017-08-01,97.74987
2017-09-01,94.18266
2017-10-01,95.01965
2017-11-01,94.53642
2017-12-01,95.08976
2018-01-01,92.28562
2018-02-01,90.82479
2018-03-01,98.72689
2018-04-01,97.04049
2018-05-01,92.3101
2018-06-01,95.72022
