"data","valor"
"2003-01-01",70.23938
"2003-02-01",71.46577
"2003-03-01",71.0719
"2003-04-01",70.59053
"2003-05-01",69.89798
"2003-06-01",70.02951
"2003-07-01",69.1619
"2003-08-01",69.69093
"2003-09-01",71.25807
"2003-10-01",71.13821
"2003-11-01",71.32987
"2003-12-01",71.15918
"2004-01-01",72.46354
"2004-02-01",73.23877
"2004-03-01",74.04924
"2004-04-01",74.42395
"2004-05-01",74.34963
"2004-06-01",74.96504
"2004-07-01",75.25411
"2004-08-01",75.60603
"2004-09-01",76.37895
"2004-10-01",75.84789
"2004-11-01",76.6859
"2004-12-01",76.1094
"2005-01-01",76.59363
"2005-02-01",77.06614
"2005-03-01",77.17571
"2005-04-01",77.71617
"2005-05-01",77.64835
"2005-06-01",77.15862
"2005-07-01",77.15349
"2005-08-01",77.74587
"2005-09-01",77.55035
"2005-10-01",77.57973
"2005-11-01",78.20956
"2005-12-01",78.825
"2006-01-01",79.44975
"2006-02-01",79.49232
"2006-03-01",79.38171
"2006-04-01",79.88756
"2006-05-01",80.89624
"2006-06-01",79.95561
"2006-07-01",81.46613
"2006-08-01",81.46537
"2006-09-01",81.66331
"2006-10-01",82.53214
"2006-11-01",83.13073
"2006-12-01",84.17098
"2007-01-01",83.90432
"2007-02-01",84.10084
"2007-03-01",83.58047
"2007-04-01",84.71139
"2007-05-01",85.43905
"2007-06-01",85.956
"2007-07-01",86.58459
"2007-08-01",86.73713
"2007-09-01",87.42676
"2007-10-01",88.26723
"2007-11-01",88.23731
"2007-12-01",89.02285
"2008-01-01",89.15936
"2008-02-01",88.9869
"2008-03-01",88.33783
"2008-04-01",89.58499
"2008-05-01",90.41852
"2008-06-01",91.23337
"2008-07-01",91.25973
"2008-08-01",91.44387
"2008-09-01",91.42616
"2008-10-01",89.59419
"2008-11-01",87.39061
"2008-12-01",85.01162
"2009-01-01",84.8414
"2009-02-01",85.49654
"2009-03-01",86.02971
"2009-04-01",86.39738
"2009-05-01",87.20323
"2009-06-01",87.73552
"2009-07-01",87.94688
"2009-08-01",89.37353
"2009-09-01",90.10765
"2009-10-01",90.81846
"2009-11-01",90.92052
"2009-12-01",92.28337
"2010-01-01",93.64349
"2010-02-01",94.52561
"2010-03-01",95.52652
"2010-04-01",96.00622
"2010-05-01",95.22033
"2010-06-01",94.97856
"2010-07-01",95.55883
"2010-08-01",96.16402
"2010-09-01",97.01382
"2010-10-01",96.86075
"2010-11-01",97.95845
"2010-12-01",96.93179
"2011-01-01",98.13917
"2011-02-01",98.54247
"2011-03-01",98.53389
"2011-04-01",98.62589
"2011-05-01",98.78085
"2011-06-01",99.11391
"2011-07-01",99.26053
"2011-08-01",99.19216
"2011-09-01",99.06673
"2011-10-01",99.00694
"2011-11-01",99.47487
"2011-12-01",98.5296
"2012-01-01",97.326
"2012-02-01",98.26784
"2012-03-01",98.02892
